user_id,friends_cnt,followers_cnt,subscriptions_cnt,wall_posts_cnt,is_deleted,is_banned,is_bot
377821179,506,189,290,208,0,0,0
178622228,78,60,9,1301,0,0,0
363146872,309,14,3,1304,0,0,0
49278075,8947,,1,,0,0,0
327575455,3170,144,35,790,0,0,0
31922212,108,,0,,0,0,0
363155691,,,,,0,1,0
296764209,156,,1,,0,0,0
49856121,555,38,49,732,0,0,0
24899415,280,22,3,214,0,0,0
429229155,,,,,1,0,0
206501611,56,67,0,3,0,0,0
308773848,190,,1,,0,0,0
8198274,53,34,2,31,0,0,0
264880450,62,53,3,35,0,0,0
399075638,367,331,139,4714,0,0,1
271262038,,,,,1,0,0
291869646,45,16,0,39,0,0,0
170980116,92,5,0,198,0,0,0
247845668,176,,8,,0,0,0
3448298,514,276,6,476,0,0,0
49168774,360,1606,4,625,0,0,0
308130775,,,,,1,0,0
346525675,102,238,1,1503,0,0,0
164567089,133,651,4,7,0,0,0
257745717,78,85,5,575,0,0,0
210653787,,,,,0,1,1
310195698,1117,8,14,178,0,0,0
109212306,177,,3,,0,0,0
200733254,129,,9,,0,0,0
291256638,389,84,0,23,0,0,0
305675323,353,,17,,0,0,0
40829794,135,154,0,4104,0,0,0
416567745,,,,,0,1,1
233229583,955,104,160,266,0,0,0
91044356,129,37,8,44,0,0,0
428608219,,,,,1,0,1
135988598,178,59,2,36,0,0,0
318350807,110,,3,,0,0,0
76896928,241,120,8,4337,0,0,0
269094892,163,997,23,8,0,0,0
430849449,,,,,1,0,1
15206146,19,68,1,544,0,0,0
4033049,166,701,4,717,0,0,0
40862183,108,32,94,1019,0,0,0
349474214,,,,,0,1,0
275737322,5,2,0,0,0,0,0
157715610,171,67,3,156,0,0,0
250249668,211,41,14,9,0,0,0
58432538,48,,1,,0,0,0
395604179,,,,,1,0,1
62042704,235,109,32,1623,0,0,0
73599946,,,,,1,0,0
61620559,37,112,1,0,0,0,0
312616771,,,,,1,0,0
172630476,330,346,2,238,0,0,0
4634189,248,,3,,0,0,0
103141175,138,,2,,0,0,0
300882680,86,22,52,19,0,0,1
388981712,6,,0,,0,0,0
116060404,129,,0,,0,0,0
90373,,,,,1,0,0
101604190,496,637,3,63,0,0,0
303083503,255,116,10,32,0,0,1
281345311,90,350,4,11,0,0,0
420624423,,,,,0,1,0
414051290,1749,95,665,587,0,0,1
279794518,280,114,5,524,0,0,0
396776116,31,,8,,0,0,0
324596625,,,,,1,0,0
185445871,229,111,0,12195,0,0,0
